,Value,Name
0,"Professor Abernathy works in the fields of federal civil procedure, civil rights, and comparative law.",Charles F. Abernathy
0,"His most recent book, Law in the United States (West Academic, 2021) (with Professor Markus Puder) explores US law as a topic of comparative law and legal processes.",Charles F. Abernathy
0,"He specializes in teaching American law to students from foreign legal backgrounds, as explored in “Law as an Item of Trade” in A Revolution in the International Rule of Law: Essays in Honor of Don Wallace Jr. (Borzu Sabahi ed., Juris Publishing, 2014).",Charles F. Abernathy
0,"Professor Abernathy was the Fulbright Professor of Law in Egypt in 1983-84, served as director of Georgetown University Law Center’s summer programs abroad (in Florence, Italy, and Heidelberg, Germany) from 1987-2000, and often lectures at law schools abroad (Italy, Switzerland, Argentina, and Germany).",Charles F. Abernathy
0,"Professor Abernathy is also the author of Civil Rights and Constitutional Litigation (West Publishing, multiple editions), the first edition of which was the first modern casebook on federal civil rights statutes.",Charles F. Abernathy
0,"He authored or co-authored Supreme Court briefs in major civil rights cases while serving at the Southern Poverty Law Center, including the brief for Sharon Frontiero in Frontiero v. Richardson.",Charles F. Abernathy
1,"LL.B., University of Jordan, Ammam, Jordan; LL.M., University of Bristol, England; MA, University of York, York, England; S.J.D., Harvard.",Lama Abu-Odeh
1,"Prior to joining the Law Center, Professor Abu-Odeh was a consulting assistant professor at Stanford Law School, where she taught Criminal Law, Comparative Family Law, Islamic Law, and a seminar entitled “Nations, Races, and Religion.”",Lama Abu-Odeh
1,"Professor Abu-Odeh was a writing instructor in the Graduate Program and Coordinator of Special Academic Projects, Islamic Legal Studies Program, at Harvard Law School.",Lama Abu-Odeh
1,"She worked at the World Bank as legal counsel in the Middle East/North Africa Division, Legal Department.",Lama Abu-Odeh
1,"As an elections observer for the United Nations, South Africa, Professor Abu-Odeh participated in voter education, party monitoring, and election supervision during the period leading to the first democratic elections in South Africa.",Lama Abu-Odeh
1,Professor Abu-Odeh has written articles on Feminism and Islam.,Lama Abu-Odeh
2,"Professor Arlyck teaches civil procedure, federal courts, and legal history.",Kevin Arlyck
2,"His scholarship investigates the federal courts’ early history, with a particular focus on their involvement in national governance between ratification of the Constitution and the Civil War.",Kevin Arlyck
2,"His scholarship has been or will be published in Law and History Review, Columbia Law Review, NYU Law Review, Notre Dame Law Review, and Brigham Young University Law Review.",Kevin Arlyck
2,He is currently working on a book exploring the important role the federal courts played in early U.S. foreign relations.,Kevin Arlyck
2,"Before coming to Georgetown, Professor Arlyck received a J.D. and Ph.D. in history from New York University, and he clerked for the Hon. Sonia Sotomayor on the Supreme Court of the United States and the Hon. Robert Katzmann on the U.S. Court of Appeals for the Second Circuit.",Kevin Arlyck
2,"He also held academic fellowships at Columbia Law and NYU School of Law, and spent several years in private practice at Orrick, Herrington & Sutcliffe in New York.",Kevin Arlyck
3,"Vicki Arroyo is the Executive Director of the Georgetown Climate Center based at Georgetown University Law Center, where she is also a Professor from Practice.",Vicki A. Arroyo
3,"Professor Arroyo serves as Special Advisor to the President of Georgetown University, and was previously Law Center’s Assistant Dean of Centers and Institutes.",Vicki A. Arroyo
3,"Professor Arroyo oversees the Georgetown Climate Center’s work at the nexus of climate and energy policy, supervising staff and student work on climate mitigation and adaptation at the state and federal level.",Vicki A. Arroyo
3,She teaches “experiential” environmental law courses to both law and public policy students.,Vicki A. Arroyo
3,"She is also a member of the faculty steering committee for the Georgetown Environment Initiative, a cross-campus effort to advance the interdisciplinary study of the environment in relation to society, scientific understanding, and sound policy.",Vicki A. Arroyo
3,"Professor Arroyo served as the Law Center’s first Environmental Law Program Director where she helped develop and launch a new Environmental Law LLM degree program and oversaw all aspects of the program including admissions of students, counseling, and curricular development from 2013 – 2015 and still works closely with the program’s Director.",Vicki A. Arroyo
3,"She previously served at the Pew Center on Global Climate Change, including as the Pew Center’s Vice President for Domestic Policy and General Counsel.",Vicki A. Arroyo
3,"For over a decade, she directed the Pew Center’s domestic policy program as well as managing the Center’s work on science, environmental impacts, adaptation, and economics.",Vicki A. Arroyo
3,"Professor Arroyo served as Managing Editor of the Center’s book, Climate Change: Science, Strategies, and Solutions.",Vicki A. Arroyo
3,"In addition to teaching at Georgetown Law, she has taught courses on environmental policy and climate change at Catholic University, George Mason University’s graduate public policy program, and Tulane Law School.",Vicki A. Arroyo
3,"Previously, she practiced environmental law with Kilpatrick Stockton in Washington DC and other firms and served in two offices at U.S. EPA: the Office of Air and Radiation and the Office of Research and Development, where she reviewed development of standards under the Clean Air Act. From 1988 to 1991, she created and directed the Louisiana Department of Environmental Quality’s policy office, and also served during some of that period as Governor Buddy Roemer’s environmental advisor.",Vicki A. Arroyo
3,Professor Arroyo currently serves as Chair of the Executive Committee of the National Transportation Research Board (TRB) of the National Academy of Sciences and chaired TRB’s Resilience and Sustainability Task Force.,Vicki A. Arroyo
3,"She serves on the Board of Advisors of the Institute of Transportation at UC Davis, and has testified before the House Committee on Transportation and Infrastructure and the Senate Committee on Environment and Public Works on steps that states and cities are taking to reduce greenhouse gas pollution from transportation and to make communities more resilient to the serious consequences of climate change.",Vicki A. Arroyo
